air_Pressure_mH2o,air_Temp_float,airtime,batt,dev_id,dist,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
10.271348,23.22819328,4.94E+08,3.735,fipy_d1,29.8,-25,10,10.28661919,22.94455338,0.015271187
-1,0,4.94E+08,3.747,fipy_e1,71.2,-28,8.8,10.00481987,22.30142975,11.00481987
10.27016258,23.28551102,4.94E+08,3.737,fipy_d1,55.3,-24,10,10.2856369,22.78025055,0.015474319
-1,0,2.14E+09,3.475,puhatu_b3,52.2,-121,-18,-1,0,0
-1,0,4.94E+08,3.75,fipy_e1,70.6,-28,13,10.0035038,22.47044754,11.0035038
10.27046394,23.30267143,4.94E+08,3.731,fipy_d1,29.8,-25,10.5,10.28584385,22.74617767,0.015379906
-1,0,4.94E+08,3.75,fipy_e1,68.6,-30,14,10.00523949,22.23615646,11.00523949
10.27242947,22.77168465,4.94E+08,3.733,fipy_d1,55,-24,9.8,10.2870121,22.59277153,0.014582634
10.33050632,19.22184563,1.97E+09,3.821,puhatu_c1,29.8,-121,-13.5,-1,0,-11.33050632
-1,0,4.94E+08,3.749,fipy_e1,677.5,-28,11.8,10.00374031,23.41280746,11.00374031
10.27196789,26.39578438,4.94E+08,3.731,fipy_d1,55.4,-25,10.5,10.28751564,23.18404388,0.015547752
-1,0,4.94E+08,3.747,fipy_e1,69.4,-25,9.2,10.00436115,23.19379616,11.00436115
10.27267361,24.41470528,4.94E+08,3.733,fipy_d1,55.6,-24,9.2,10.28882027,24.66442299,0.01614666
-1,0,4.94E+08,3.745,fipy_e1,68.9,-29,11.5,10.01019955,23.31121826,11.01019955
10.27129078,25.70456314,4.94E+08,3.735,fipy_d1,55.6,-27,11.5,10.28804588,24.75754166,0.016755104
-1,0,4.94E+08,3.746,fipy_e1,70.4,-27,11.8,10.0090456,22.99637985,11.0090456
10.319561,18.85166168,2.14E+09,3.765,puhatu_b1,50.2,-99,8,-1,0,-11.319561
10.27057838,24.95770073,4.94E+08,3.735,fipy_d1,55.6,-28,12.5,10.28713322,24.35112953,0.016554832
10.3211689,17.7352314,2.14E+09,3.651,puhatu_b2,44.6,-111,6.8,11.72667027,6.525689602,1.405501366
10.33856869,16.85584068,1.97E+09,3.718,puhatu_c2,66.3,-123,-16,-1,0,-11.33856869
-1,0,4.94E+08,3.745,fipy_e1,74.2,-29,12.2,10.01160145,23.05901337,11.01160145
10.26857185,28.52252769,4.94E+08,3.729,fipy_d1,55.5,-25,9,10.28592682,24.39513588,0.017354965
